query,video_id,channel_title,title,view_count,published_at
"أودو السعودية","l9RkbMPW3Qw","Ahmed Hassan Algammal ","اودو افشل نظام ادارة شركات ؟ الحقيقة الكاملة ",1968,"2025-12-09"
"أودو السعودية","FMM-Gb76ydQ","Growth Way","Odoo ERP أودو 18 المبيعات والمشتريات والحسابات",3725,"2024-10-26"
"اوديو شركة","I0qpNCg4rMo","Ambience Hub","Call Center Sounds - Work From Home - Office -  Ambience",8783041,"2016-04-24"
"اوديو شركة","N3IA_u2sb28","bushra dawoud","الرد الآلي ( IVR ) لشركة الاتصالات | تعليق صوتي",20920,"2023-02-23"
"اوديو شركة","XuWzo5dX7IQ","L MIKROB الميكروب","اوديو أستاد الرياضيات معصب #اوديو #مضحك",4021,"2023-03-09"
"اوديو شركة","qrveekHoeJ4","محمد علي - Mohamed Ali","كيف تحصل على أعمال صوتية و تربح من صوتك ؟",93711,"2022-07-18"
"اوديو شركة","1ZBR23k0890","Rawaa | رواء","Boya microphone against DJI, who wins? #audio #mics #microphone",16387130,"2024-01-07"
"اوديو شركة","_73JBZDrMNo","قليلا من كل شيء","كيف يتم صنع سماعات الأذن الطبية؟ - خطوة بخطوة 😮 #shorts",39844154,"2023-11-01"
"اوديو شركة","dUdrm0YM1zU","king Abidos","مقدمة فيديو احترافية بدون إسم مجانا يبحث عنها الجميع #intro_اسمك #kingabidos #اليوتيوب #shorts",201763,"2023-04-19"
"اوديو شركة","AT7WguTjRNM","Mr WARTA GAMING","صوتي في ببجي موبايل 😂",3683376,"2025-04-12"
"ادارة المشاريع مصر","JXEXdbS5tsI","PMCORNERKSA","Project Management in 15 minutes | إدارة المشاريع في 15 دقيقة من خلال مثال عملي",144202,"2022-05-07"
"ادارة المشاريع مصر","yBwXYXl1I-w","Mostafa Attia","هذه هى تجربتى مع شهادة ادارة المشاريع PMP!!  قبل ما تدبس شوف الفيديو دة!",110629,"2023-06-14"
"ادارة المشاريع مصر","2nU3_-2cypM","SAYED MOHSEN PMP","ما هى شهادة PMP وأهميتها فى سوق العمل",100139,"2023-07-10"
"ادارة المشاريع مصر","a9FeTk2zZLI","Ehab Mesallum","أهم 6 حاجات لازم تجهزهم قبل بداية البيزنيس | 144 | عيادة الشركات | د. إيهاب مسلم",438065,"2025-07-09"
"ادارة المشاريع مصر","f1yDazifWE0","NaviGrowth Project Management","( Project Management أهم فيديو قبل ما تبدأ تتعلم الـ ) !ازاي تكون مش مدير مشروع؟",28811,"2022-12-07"
"ادارة المشاريع مصر","xU6F6uNwF-c","MedSpark eLearning","Project Management for Healthcare Professionals (PMP) - إدارة المشاريع الاحترافية في الرعاية الصحية",466,"2024-11-26"
"ادارة المشاريع مصر","gXjcUBOh05Y","منصة عافر التعليمية - 3afer","إدارة المشروعات الصغيرة  | المحاضرة الأولى - تجارة القاهرة",513,"2024-10-15"
"ادارة المشاريع مصر","ozqQbCmtNdI","Heba Alshehhi","أساسيات إدارة المشاريع بمنهجية أجايل سكرم Agile Scrum",159814,"2018-02-19"
"وكالة تسويق دبي","96XUCNjpc8Q","Ahmed Khalifa احمد خليفة","Marketing Agency بدأت شركة تسويق الكتروني بعائدات تصل الى 50,000$؟",104404,"2022-11-26"
"وكالة تسويق دبي","i2acwrP5AiE","Muhammad Ghazaly | محمد غزالى","إزاي تسوّق بميزانية قليلة؟💰📈#تسويق #تسويق_رقمي #تسويق_الكتروني #تسويق_بميزانية_قليلة #دبي #تسويقـدبي",129,"2025-02-02"
"وكالة تسويق دبي","67vpI8iocjA","Elie Khudari Archive | ايلي خضري - أرشيف","كيف تؤسس وكالة تسويق ناجحة | نصائح لانشاء شركة تسويق الكتروني وتقديم خدمات تسويقية احترافية",50914,"2022-03-10"
"وكالة تسويق دبي","8Nbhr4AvBHs","Muhammad Ghazaly | محمد غزالى","USPمش هتعرف تبيع أي حاجة من غير USP #تسويق #تسويق_إلكتروني #دبي #الرياض  #marketingservices",457,"2025-03-03"
"وكالة تسويق دبي","KaKfNy27KRc","Anwr محمد أنور ","اسهل طريقة لفتح شركة في دبي _ محمد انور",48666,"2023-03-03"
"وكالة تسويق دبي","0GL9adXduJY","Income Interviews ","How much a Digital Marketing Exec makes in Dubai #Marketing #SocialMedia #Career #Salary",107674,"2025-02-18"
"وكالة تسويق دبي","UYwEd359mQE","بيتر دانيال - Peter Daniel","اكتر مجالين شغل مطلوبين في دبي 🇦🇪",2572086,"2023-02-17"
"وكالة تسويق دبي","JiPKOM3N5pI","shaheenDXB","تجربتي في مجال العقارات في دبي لمده سنتين",13526,"2024-08-02"
"ريادة اعمال السعودية","kjNsFLriPUA","HFA FIRM","الترخيص الريادي في السعودية لرواد الأعمال الأجانب الغير سعوديين",2650,"2025-08-22"
"ريادة اعمال السعودية","ZrFDqUtBKdQ","MBC1","نموذج لقصة نجاح أصغر رائد أعمال في العالم",173612,"2022-04-18"
"ريادة اعمال السعودية","J0NKQiVx2lA","MBC1","أسرار نجاح رائد الأعمال",109453,"2022-04-19"
"ريادة اعمال السعودية","aHU19xgbFM8","إذاعة ثمانية","كيف تبني شركة ريادية بأقل المخاطر | بودكاست سوالف بزنس",408907,"2025-01-06"
"ريادة اعمال السعودية","a_TAQv6hkR8","MBC1","أحمد الشقيري يوضح أهم أسباب فشل الشركات الناشئة",304439,"2022-04-19"
"ريادة اعمال السعودية","EeEPMd95uGQ","HFA FIRM","ما مصير الرخصة الريادية في السعودية مع القانون الجديد؟",2854,"2025-01-17"
"ريادة اعمال السعودية","ClQHs-wLEVc","Shark Tank Egypt","رائد أعمال رفض يبيع شركته مقابل ١٠٠ مليون دولار!",2064285,"2024-10-01"
"ريادة اعمال السعودية","6hg0jrVCFkw","Business بالعربي","٦ صفات لكي تكون رائد اعمال ناجح !- فلوج#16",85368,"2025-07-28"
"ChatGPT للأعمال","sFVYR_KalBI","Rawaa | رواء","دليلك الشامل لــ ChatGPT من الصفر | كيفية استخدام تشات جي بي تي للمبتدئين",281547,"2026-01-18"
"ChatGPT للأعمال","gF1vUQQvVU0","أكاديمية ريان | Ryan Academy","وفر مالك! خصم 95% على ChatGPT بزنس + 10 حسابات ChatGPT Business مجاناً!",1634,"2026-01-20"
"ChatGPT للأعمال","f3wYmrQxORc","عرب تكنو - 3rab techno","ازاي تاخد ChatGPT المدفوع !؟ 🔥😱 خطوة سهلة وبسيطة ✅",866475,"2025-06-24"
"ChatGPT للأعمال","fS-ltvjGG7Y","CodeX","أخيراً! الطريقة الجديدة لتفعيل ChatGPT Business مجانًا",517,"2025-12-30"
"ChatGPT للأعمال","u8IhvSSyNa0","Bassam Elyamany - بسام اليمني","ChatGPT Plus و Business مجاناً 2025 | الطريقة القانونية بالتفصيل",21366,"2025-10-31"
"ChatGPT للأعمال","eEJEPIjieeg","Mohamed Medhat - محمد مدحت","٧ استخدامات يومية لـشات جي بي تي هتغيّر حياتك حرفيًا - Chat GPT",153131,"2025-05-18"
"ChatGPT للأعمال","PKsth1zHVtg","TOOLBOXLAP","ChatGPT Business مجاناً 2025 🚀 السر القانوني بخطوات سهلة وشرح رسمي!",4724,"2025-11-02"
"ChatGPT للأعمال","hPrb5DSzUI4","Nehal SpaceTech","شرح ChatGPT وخطط الاشتراك الجديدة 2025 | Free – Go – Plus – Pro – Business",3351,"2025-10-21"
