country,group,query,avg_interest_0_100,n_weeks
QA,ar_ai,"ChatGPT",ERROR,0
QA,ar_odoo,"أودو",0.0,262
QA,ar_odoo,"أودو",ERROR,0
QA,ar_odoo,"اودو",ERROR,0
QA,ar_odoo,"Odoo",ERROR,0
QA,ar_scope,"تغيير النطاق",0.3,262
QA,ar_scope,"تغيير النطاق",ERROR,0
QA,ar_scope,"خلاف عميل",ERROR,0
QA,ar_scope,"نطاق العمل",ERROR,0
QA,ar_scope,"اتفاقية العمل",ERROR,0
QA,ar_docs,"إجراءات تشغيل",0.2,262
QA,ar_docs,"إجراءات تشغيل",ERROR,0
QA,ar_docs,"وثيقة المشروع",ERROR,0
QA,ar_docs,"محضر القرار",ERROR,0
QA,ar_docs,"تقرير العميل",ERROR,0
QA,ar_verticals,"وكالة تسويق",0.0,262
QA,ar_verticals,"وكالة تسويق",ERROR,0
QA,ar_verticals,"شركة استشارات",ERROR,0
QA,ar_verticals,"مكتب محاسبة",ERROR,0
QA,ar_verticals,"مكتب محاماة",ERROR,0
QA,ar_franco,"enaktab",0.0,262
QA,ar_franco,"كناب",0.7,262
QA,ar_franco,"enaktab",ERROR,0
QA,ar_franco,"كناب",ERROR,0
QA,ar_franco,"noukap",ERROR,0
LB,ar_meeting_notes,"محضر اجتماع",0.0,262
LB,ar_meeting_notes,"محضر اجتماع",ERROR,0
LB,ar_meeting_notes,"مذكرات الاجتماع",ERROR,0
LB,ar_meeting_notes,"تلخيص اجتماع",ERROR,0
LB,ar_meeting_notes,"محاضر اجتماعات",ERROR,0
LB,ar_ai,"ذكاء اصطناعي",0.2,262
LB,ar_ai,"ذكاء اصطناعي",ERROR,0
LB,ar_ai,"تشات جي بي تي",ERROR,0
LB,ar_ai,"شات جي بي تي",ERROR,0
LB,ar_ai,"ChatGPT",ERROR,0
LB,ar_odoo,"أودو",0.2,262
LB,ar_odoo,"أودو",ERROR,0
LB,ar_odoo,"اودو",ERROR,0
LB,ar_odoo,"Odoo",ERROR,0
LB,ar_scope,"تغيير النطاق",0.0,262
LB,ar_scope,"تغيير النطاق",ERROR,0
LB,ar_scope,"خلاف عميل",ERROR,0
LB,ar_scope,"نطاق العمل",ERROR,0
LB,ar_scope,"اتفاقية العمل",ERROR,0
LB,ar_docs,"إجراءات تشغيل",0.4,262
LB,ar_docs,"إجراءات تشغيل",ERROR,0
LB,ar_docs,"وثيقة المشروع",ERROR,0
LB,ar_docs,"محضر القرار",ERROR,0
LB,ar_docs,"تقرير العميل",ERROR,0
LB,ar_verticals,"وكالة تسويق",0.0,262
LB,ar_verticals,"وكالة تسويق",ERROR,0
LB,ar_verticals,"شركة استشارات",ERROR,0
LB,ar_verticals,"مكتب محاسبة",ERROR,0
LB,ar_verticals,"مكتب محاماة",ERROR,0
LB,ar_franco,"enaktab",0.0,262
LB,ar_franco,"كناب",0.4,262
LB,ar_franco,"enaktab",ERROR,0
LB,ar_franco,"كناب",ERROR,0
LB,ar_franco,"noukap",ERROR,0
MA,ar_meeting_notes,"محضر اجتماع",2.3,262
MA,ar_meeting_notes,"محضر اجتماع",ERROR,0
MA,ar_meeting_notes,"مذكرات الاجتماع",ERROR,0
MA,ar_meeting_notes,"تلخيص اجتماع",ERROR,0
MA,ar_meeting_notes,"محاضر اجتماعات",ERROR,0
MA,ar_ai,"ذكاء اصطناعي",0.1,262
MA,ar_ai,"ذكاء اصطناعي",ERROR,0
MA,ar_ai,"تشات جي بي تي",ERROR,0
MA,ar_ai,"شات جي بي تي",ERROR,0
MA,ar_ai,"ChatGPT",ERROR,0
MA,ar_odoo,"أودو",0.0,262
MA,ar_odoo,"أودو",ERROR,0
MA,ar_odoo,"اودو",ERROR,0
MA,ar_odoo,"Odoo",ERROR,0
MA,ar_scope,"تغيير النطاق",0.0,262
MA,ar_scope,"تغيير النطاق",ERROR,0
MA,ar_scope,"خلاف عميل",ERROR,0
MA,ar_scope,"نطاق العمل",ERROR,0
MA,ar_scope,"اتفاقية العمل",ERROR,0
MA,ar_docs,"إجراءات تشغيل",0.3,262
MA,ar_docs,"إجراءات تشغيل",ERROR,0
MA,ar_docs,"وثيقة المشروع",ERROR,0
MA,ar_docs,"محضر القرار",ERROR,0
MA,ar_docs,"تقرير العميل",ERROR,0
MA,ar_verticals,"وكالة تسويق",0.0,262
MA,ar_verticals,"وكالة تسويق",ERROR,0
MA,ar_verticals,"شركة استشارات",ERROR,0
MA,ar_verticals,"مكتب محاسبة",ERROR,0
MA,ar_verticals,"مكتب محاماة",ERROR,0
MA,ar_franco,"enaktab",0.2,262
MA,ar_franco,"كناب",2.5,262
MA,ar_franco,"enaktab",ERROR,0
MA,ar_franco,"كناب",ERROR,0
MA,ar_franco,"noukap",ERROR,0
