video_id,channel_title,category,matched_term,text_snippet,like_count
"EddDhIpA5F0","Yehia Tech يحيى تك","odoo","أودو","مظبوط لأن المفروض الشخص يروح لشركة محترمة تنفذ ليه المشروع بكل سهولة و خصوصا الشركات اللي بتبقا متعاقدة مع اودو  انا شغال قي شركة وكيل رسمي لأودوو و بننفذ مشاريع اودو للشركات المتوسطة و الصغيرة و بنقدم كل الخدمات دي و بنعمل انتجريشن و ربط مع انظمة كتير مختلفة و الحمد لله نفذنا حوالي 40 مشروع لشركة و",4
"EddDhIpA5F0","Yehia Tech يحيى تك","odoo","ERP","ملاحظة صغيرة، salesforce هو CRM مش ERP و ده اختصار customer relationship management, مثال تاني لاشهر الerp systems يبقى حاجة زي SAP كده",7
"EddDhIpA5F0","Yehia Tech يحيى تك","odoo","Odoo","عشان كده يا هندسه في erp system جاي تاني وبقوه وهو next من شركه frappe وفي صعود جامد جدا واظن هيعدي odoo واهم ميزه فيه هو سهل جدا في ال integration مع كل المواقع لانه open source بردو واحسن من odoo في features اعلي منه بكتير وده عن واقع تجربه",18
"6GOkRhedFzs","TechnoFunctionalLearning","odoo","Odoo","I installed odoo 19 on termux but i am getting css error on the website. Did you use python venv? What version of python ? 3.12 or 3.10? What version of libsass and lxml?",0
"u7UZWSaYNJ8","Software Connect","odoo","ERP","Explore Software for Small Businesses: https://softwareconnect.com/go/small-business-erp-9ede5",2
"u7UZWSaYNJ8","Software Connect","odoo","Odoo","As a businessman I would prefer Zoho, as a developer I would love to choose Odoo. Odoo gives me freedom to create my own modules, customize things as I like, but Zoho gives me easy and fast access to tools, essential customisation only.",105
"u7UZWSaYNJ8","Software Connect","odoo","Odoo","Starting out my own company and I plan to use Zoho One (for the bulk business operations) and Odoo MRP app (single app paid). After I will work on connecting the two via N8N with custom APIs and workflows between Odoo MRP and Zoho Books and CRM for my software and hardware products.",34
"u7UZWSaYNJ8","Software Connect","odoo","ERP","As an Srilankan ERP consultant i prefer both",0
"u7UZWSaYNJ8","Software Connect","odoo","Odoo","I'm trying to decide between this 2, for a small business that does maintenance services and spare parts, so mainly I am focusing on FSM and Inventory and how they connect between each other, I was leaning for Odoo because It looks cleaner/more stable, but I realized that Odoo doesnt offer GPS track",1
"u7UZWSaYNJ8","Software Connect","odoo","Odoo","Great video. I just had a very bad experience with Odoo.. they deleted all my data out of an update they even didn't know how it was scheduled without my consent. Support : we can't do much!",0
"u7UZWSaYNJ8","Software Connect","odoo","Odoo","As a developer zoho is best, Odoo has too much flaws also it seems expensive.",13
"u7UZWSaYNJ8","Software Connect","odoo","ERP","what about erpnext ?",0
"u7UZWSaYNJ8","Software Connect","odoo","Odoo","Actually Odoo is not a friendly user😢",1
"u7UZWSaYNJ8","Software Connect","odoo","Odoo","Great video, thanks for the comparison! I run a construction startup and I have three main needs:  1. ERP for subcontractor/vendor management, material tracking, and overall operations   2. Facebook leads integration directly into CRM   3. Payroll for employees, all within a reasonable budget    Bet",2
"u7UZWSaYNJ8","Software Connect","odoo","Odoo","Just checking out Zoho as I have used Odoo since 2023 (Community) and enterprise from end of (2024),  the pricing part is bit outdated from 2024, Odoo has been at $11  per user per month on Standard and $18 per user per month on Custom plan..we implemented the custom plan in Dec 2024, the $18 actual",0
"u7UZWSaYNJ8","Software Connect","odoo","Odoo","This guy is clearly selling odoo, while trying to be fair to Zoho. Nice try.",0
"u7UZWSaYNJ8","Software Connect","odoo","Odoo","Odoo is open source which is safer than zoho. & its an indian company is precisely why its not safe. All ypur data is esentially govt data. No thankyou",0
"vZE0j_WCRvI","Good Work","odoo","ERP","""Go to meetings and prepare for meetings."" Accurate. We hire consultants and they just sit in meetings and create PowerPoints to show at the next meeting to show what was in the previous meeting.",7443
"vZE0j_WCRvI","Good Work","odoo","ERP","My ex girlfriend left me for a young consultant so this is extremely gratifying, thank you. I was a secure overachiever, which is why I'm an underpaid artist.",3846
"vZE0j_WCRvI","Good Work","odoo","ERP","26 yo Management Consultant here. ""Going to meetings and preparing for meetings"" is a very good description. At best you take on some menial tasks that still have some tangible value at least. At worst, your job is simply to agree with the client, fiddle with some PowerPoint slides, and show up to m",493
"gg9jncbu14g","Murrad on Run","odoo","ERP","I don't know why this woman is portraying DUBAI as something out of the league as if she's the niece of Dubai's king. If her point of view is to be considered then those who are astrologers in india even they are consultants in their capacity and earn more than their counterparts working in delloite",3
"qzdnIG4VBRc","E-Accounting & ERP","odoo","أودو","شكرا على الشرح المبسط والرائع. سؤال لو سمحت هل يمكن ربط نظام كامتند الخاص بالحضور والانصراف عن طريق الجوال بنظام أودو؟ لو ممكن شرح للموضوع في فيديو منفصل من فضلك.",4
"qzdnIG4VBRc","E-Accounting & ERP","odoo","Odoo","محتاجة اتعلم odoo sales",0
"5yY_KMBM03o","putcodes","odoo","Odoo","انا محاسب ومذاكر  python  وعاوز اكون Odoo developer ممكن ترشحلى كورس ابدا معاه",1
"5yY_KMBM03o","putcodes","odoo","Odoo","هل ai هياثر علي مجال Odoo Developer وهستبداله او يقلل الطلبه علي المجال من وجهه نظرك حضرتك بما انك شغل في المجال ده",2
"5yY_KMBM03o","putcodes","odoo","Odoo","لو سمحت في حد بيقدم تدريب ليodoo",1
"5yY_KMBM03o","putcodes","odoo","Odoo","لو سمحت انا odoo developer  منين اجيب مشاريع جاهزة واتعلم منها واطبق",1
"5yY_KMBM03o","putcodes","odoo","ERP","هو erp Consultant غير erp developer صح ؟؟؟",1
"5yY_KMBM03o","putcodes","odoo","Odoo","لو سمحت هو مرتبات odoo implementer في مصر والخليج في رينج كام؟",1
"5yY_KMBM03o","putcodes","odoo","Odoo","انا عندي مشاكل في تثبيت odoo على لينكس  هل في فرق اذا على ويندوز او لينكس",0
"4hTgxJR5qmo","غريب الشيخ || Ghareeb Elshaikh","odoo","Odoo","عندى سؤال لحضرتك  دلوقت لو محتاج erp system عندى فى شركه لسه بقوم بأنشائها اقدر اشترك فى odoo واعمل ال implementation بنفسى . ولا هكون محتاج customization كتير على odoo enterprise ؟!",0
"4hTgxJR5qmo","غريب الشيخ || Ghareeb Elshaikh","odoo","Odoo","عايز اسأل حضرتك موضوع ال partnership مع odoo كويس ولا لا ؟",0
"4hTgxJR5qmo","غريب الشيخ || Ghareeb Elshaikh","odoo","Odoo","طب اى إمكانيات الجهاز لتشغيل odoo",0
"4hTgxJR5qmo","غريب الشيخ || Ghareeb Elshaikh","odoo","Odoo","هل إذا حملت Odoo Community 18 على سيرفر في البيت بحصل كل هذه المميزات؟",0
"l9RkbMPW3Qw","Ahmed Hassan Algammal ","odoo","ERP","صراحة بسبب أن اودو مبني ببايثون فده بيدي إمكانيات جبارة للشركة اللي بتفهم سواء تحليل البيانات أو التكامل مع الذكاء الاصطناعي وقد يتفوق في الحتت دي على erp زي SAP ,Oracle وغيرهم بسبب أن المعمارية بتاعتهم قديمة و أصعب من الناحية دي في التطوير",1
"l9RkbMPW3Qw","Ahmed Hassan Algammal ","odoo","Odoo","السلام عليكم أنا طالب فرقة رابعة تجارة وعاوز اشتغل في مجال ERP حضرتك تنصحني اتعلم علي odoo ولا SAP وجزاك الله خيرا",2
"l9RkbMPW3Qw","Ahmed Hassan Algammal ","odoo","ERP","ممكن ي هندسه تدينا رودماب لو حد حابب يبدا في مجال ال erp ازاي يبدا ويختار انهي نظام وكنو حابب اعرف من حضرتك ايه اكتر نظام منتشر ف الخليج",1
"l9RkbMPW3Qw","Ahmed Hassan Algammal ","odoo","ERP","وليه ما نعملش erp  يكون منتج عربي زي ما الهنود عندهم tally, erp next , ZOHO ...",1
"l9RkbMPW3Qw","Ahmed Hassan Algammal ","odoo","ERP","السلام عليكم انا اسف يا بشمهندس سؤال برا الفيديو انا هتخرج من هندسة اتصالات الترم دا وعاوز أتخصص في مجال من مجالات آل erp بس يكون صعب ان الذكاء الاصطناعي يستبدله ترشحلي اي حتى لو هحتاج دراسة بزنس معاه وجزاك الله خير مقدما واسف على الإطالة",1
"FMM-Gb76ydQ","Growth Way","odoo","Odoo","Wow, this is hands down the best Odoo explanation video I've come across! The clarity and thoroughness with which you covered each module are truly commendable. Great job!",0
"I0qpNCg4rMo","Ambience Hub","meeting_en","MoM","Great to know that videos like this exist. Especially perfect if you have disappointed parents who call you frequently!   No mom, I’m not playing video games, I’m filling out a TPS report!",165
"I0qpNCg4rMo","Ambience Hub","meeting_en","MoM","Corporate Accounts Payable, Nina speaking! Just a moment!",13
"0GL9adXduJY","Income Interviews ","odoo","ERP","She’s underpaid",5
"sFVYR_KalBI","Rawaa | رواء","ai_curious","ذكاء اصطناعي","‏ اعملي فيديو عن Gemini بليز وعن أفضل برنامج ذكاء اصطناعي♥️🙏🏻",81
"sFVYR_KalBI","Rawaa | رواء","ai_curious","ChatGPT","رواء اخو صحبيتي عمرو ثمن سنين قالي مرة انو يريد يتعلم شلون يتسخدم ChatGPT بس ما عرفت شلون اعلمه فا الحمد لله انك عملتي فيديو بسيط و من خبيرة جزاك الله خيرا رواء",14
"f3wYmrQxORc","عرب تكنو - 3rab techno","ai_curious","ChatGPT","Use the ChatGPT Pro Plan more precise and high-quality answers. I want responses identical to those from the paid pro version",93
"f3wYmrQxORc","عرب تكنو - 3rab techno","ai_curious","ChatGPT","Use the chatGPT pro plane for more precise and high-quality answers. I want responses indentical to those from the paid pro version",34
"f3wYmrQxORc","عرب تكنو - 3rab techno","ai_curious","ChatGPT","Use the chatGPT pro plane for more precise and -quality answers . I want responses identical to those from the paid pro version",24
"f3wYmrQxORc","عرب تكنو - 3rab techno","ai_curious","ChatGPT","Use the ChatGPT Pro plane for more precise and high-quality  answers .I wat responses identical to those from the paid pro version",2
"f3wYmrQxORc","عرب تكنو - 3rab techno","ai_curious","ChatGPT","Use the ChatGPT plane for more precise and high-quailty answers. I want pesponses identical to those from the paid pro version",0
"f3wYmrQxORc","عرب تكنو - 3rab techno","ai_curious","ChatGPT","Use the ChatGPT pro plane for more precise and high-quality answers . I want responses identical to those from the paid pro version.",4
"f3wYmrQxORc","عرب تكنو - 3rab techno","ai_curious","ChatGPT","Use the chatgpt pro plane for more precise and high_quality  answers . I want resposes identcal to those from the piad pro version",1
"f3wYmrQxORc","عرب تكنو - 3rab techno","ai_curious","ChatGPT","Use the ChatGPT pro plane for more precise and high-quality answers . I want responses identical to😂 those from the paid pro version",0
"f3wYmrQxORc","عرب تكنو - 3rab techno","ai_curious","ChatGPT","#  Use the ChatGPT pro plane for more precise and high-quality answers. I want responses identical to those from the paid pro version",1
"eEJEPIjieeg","Mohamed Medhat - محمد مدحت","ai_curious","ChatGPT","شكرا محمد انت متميز بهذا الموضوع اشرح اكثر عن ChatGPT ونريد فيديوهات عن ادوات الذكاء في التعليم الجامعي والبحث العلمي",1
"eEJEPIjieeg","Mohamed Medhat - محمد مدحت","ai_curious","ChatGPT","الله يعطيك العافيه فيديو جميل  انا كمان بخطط للسفر مع chatgpt",2
"PKsth1zHVtg","TOOLBOXLAP","ai_curious","ChatGPT","شكرا علي الشرح لكن المشكلة لسنا كلنا نملك credit card ان امكن تمدنا بفيزا وهمية تشتغل علي chatgpt",2
"hPrb5DSzUI4","Nehal SpaceTech","ai_curious","ChatGPT","جميل بس طيب هو دا chatgpt 5 ولا هو 4 ولما ادفع يتحول 5 عاوزه افهم دي",0
"hPrb5DSzUI4","Nehal SpaceTech","ai_curious","ChatGPT","إذا شريت كونت chatgpt plus واش نقدر نحلو ف 4 لبيسيات ؟",1
